Result_ID	Unique_Seq_ID
1	1
2	1
3	1
4	1
5	2
6	2
7	3
8	4
9	5
10	1
11	6
12	7
13	1
14	8
15	3
16	1
17	9
18	1
19	7
20	10
21	11
22	12
23	13
24	9
25	14
26	15
27	10
28	16
29	17
30	18
31	19
32	20
33	21
34	22
35	23
36	14
37	24
38	25
39	26
40	26
41	27
42	28
43	17
44	24
45	13
46	29
47	30
48	31
49	32
50	33
51	34
52	33
53	35
54	36
55	37
56	38
57	26
58	39
59	40
60	41
61	42
62	43
63	44
64	45
65	46
66	47
67	18
68	48
69	49
70	50
71	51
72	52
73	50
74	53
75	54
76	55
77	56
78	57
79	58
80	59
81	60
82	61
83	62
84	63
85	64
86	65
87	66
88	67
89	68
90	69
91	70
92	71
93	72
94	73
95	74
96	75
97	76
98	77
99	78
100	79
101	80
102	81
103	82
104	83
105	84
106	85
107	5
108	86
109	87
110	88
111	89
112	90
113	91
114	92
115	93
116	94
117	95
118	96
119	97
120	98
121	99
122	100
123	101
124	102
125	103
126	104
127	105
128	106
129	107
130	108
131	109
132	110
133	111
134	112
135	113
136	114
137	115
138	116
139	117
140	118
141	119
142	120
143	121
144	122
145	123
146	124
147	125
148	126
149	127
150	128
151	129
152	130
153	131
154	132
155	133
156	134
157	135
158	136
159	137
160	138
161	139
162	140
163	141
164	142
165	143
166	144
167	145
168	146
169	147
170	148
171	149
172	150
173	151
174	152
175	153
176	154
177	155
178	156
179	157
180	158
181	159
182	160
183	161
184	162
185	163
186	164
187	165
188	166
189	167
190	168
191	169
192	170
193	171
194	172
195	173
196	174
197	175
198	176
199	177
200	178
201	179
202	180
203	181
204	182
205	183
